,2018-07-26,2018-07-27,2018-07-28,2018-07-29,
**hotel.de*,0,0,0,0,
063ph,0,0,0,0,
101newyork,0,0,0,0,
1038,0,0,0,0,
121buddies,0,0,0,0,
121grille,0,0,0,0,
"123 legal",0,0,0,0,
1234,0,0,0,0,
123legal,0,0,0,0,
123lending,0,0,0,0,
1521resto,0,0,0,0,
"1722 it services",0,0,0,0,
1722esend,0,0,0,0,
17media,0,0,0,0,
17vpn,0,0,0,0,
196telecom,0,0,0,0,
1988devcorp,0,0,0,0,
199jobs,0,0,0,0,
1bro,0,0,0,0,
1digmaan,0,0,0,0,
1isa,0,0,0,0,
1isadigital,0,0,0,0,
1qt,0,0,0,0,
1rewards,0,0,0,0,
"1st shelter",0,0,0,0,
1staacph,0,0,0,0,
1stfenix,0,0,0,0,
1stvitaplus,0,0,0,0,
1tmc,0,0,0,0,
1uhub,0,0,0,0,
1xbet.com,0,0,0,0,
24-7,0,0,0,0,
247regalo,0,0,0,0,
24alkalinec,0,0,0,0,
24option,0,0,0,0,
25turningpt,0,0,0,0,
2600promo,0,0,0,0,
2blive,0,0,0,0,
2go,0,0,0,0,
"2go express",0,0,0,0,
"2go freight",0,0,0,0,
3000kr,0,0,0,0,
"360 fitness",0,0,0,0,
360fitclub,0,0,0,0,
360fitness,0,0,0,0,
360logix,0,0,0,0,
"361 degrees",0,0,0,0,
361degrees,0,0,0,0,
"3d hubs",0,0,0,0,
3max_sysm,0,0,0,0,
3stripes,0,0,0,0,
491712401408,0,0,0,0,
4dsr,0,0,0,0,
4homelife,0,0,0,0,
4jmathew,0,0,0,0,
4life-usa,0,0,0,0,
4lifeagilas,0,0,0,0,
4lifeaguila,0,0,0,0,
4ps,0,0,0,0,
4talk,0,0,0,0,
"5 anchors",0,0,0,0,
500px,0,0,0,0,
51talk,0,0,0,0,
5light,0,0,0,0,
632beer,0,0,0,0,
66628,0,0,0,0,
"7 eleven",0,0,0,0,
"7 flavors",0,0,0,0,
7-11,0,0,0,0,
7-eleven,0,0,0,0,
700club,0,0,0,0,
75health,0,0,0,0,
7eleven,0,0,0,0,
80008,0,0,0,0,
8990deca,0,0,0,0,
8apps,0,0,0,0,
8bitesbh,0,0,0,0,
8thph,0,0,0,0,
8thsaps,0,0,0,0,
919980524000,0,0,0,0,
94th_,0,0,0,0,
99.co,0,0,0,0,
9dot_strat,0,0,0,0,
9dotstrat,0,0,0,0,
??routee,0,0,0,0,
@info,0,0,0,0,
"a airtravel",0,0,0,0,
"a athletica",0,0,0,0,
a-wonders,0,0,0,0,
a0385089076,0,0,0,0,
a1bistro,0,0,0,0,
a3d,0,0,0,0,
aa_masaje,0,0,0,0,
"aaa prx",0,0,0,0,
aaa_prx,0,0,0,0,
"aab petron",0,0,0,0,
aarhusuni,0,0,0,0,
aaron,0,0,0,0,
"aaron carlo",0,0,0,0,
aathletica,0,0,0,0,
aava,0,0,0,0,
aaxs,0,0,0,0,
"ab skf",0,0,0,0,
ab0974,0,0,0,0,
ab1522,0,0,0,0,
ab2060,0,0,0,0,
ab2232,0,0,0,0,
ab2421,0,0,0,0,
ab2500,0,0,0,0,
ab3130,0,0,0,0,
ab3338,0,0,0,0,
ab3634,0,0,0,0,
ab4715,0,0,0,0,
ab4921,0,0,0,0,
ab5673,0,0,0,0,
ab6464,0,0,0,0,
ab6572,0,0,0,0,
ab6593,0,0,0,0,
ab7388,0,0,0,0,
ab7430,0,0,0,0,
ab7645,0,0,0,0,
ab7918,0,0,0,0,
ab8482,0,0,0,0,
ab8578,0,0,0,0,
ab8658,0,0,0,0,
ab9672,0,0,0,0,
abank,0,0,0,0,
abayed,0,0,0,0,
abbott,0,0,0,0,
abbu,0,0,0,0,
abc,0,0,0,0,
abc123,0,0,0,0,
abcde,0,0,0,0,
abecollege,0,0,0,0,
abenson,0,0,0,0,
abenson.com,0,0,0,0,
"abf events",0,0,0,0,
abgssp,0,0,0,0,
abiva,0,0,0,0,
ablaze,0,0,0,0,
"abode spa",0,0,0,0,
aboitiz,0,0,0,0,
aboitiz.,0,0,0,0,
aboitizpowr,0,0,0,0,
aboitizpwer,0,0,0,0,
aboutchriz,0,0,0,0,
abra,0,0,0,0,
abs-cbn,0,0,0,0,
abscbn,0,0,0,0,
absential,0,0,0,0,
absnetwork,0,0,0,0,
"abu md",0,0,0,0,
abuelitas,0,0,0,0,
acacia-pc,0,0,0,0,
acadent,0,0,0,0,
acadprimera,0,0,0,0,
acca,0,0,0,0,
accenti,0,0,0,0,
accenture,0,0,0,0,
accessbank,0,0,0,0,
accntr,0,0,0,0,
accor,0,0,0,0,
accorhotels,0,0,0,0,
acctn,0,0,0,0,
accu,0,0,0,0,
accucel,0,0,0,0,
accutime,0,0,0,0,
accutrack,0,0,0,0,
accuwebhost,0,0,0,0,
acdesigns,0,0,0,0,
"acdi mpc",0,0,0,0,
acdi_mpc,0,0,0,0,
ace,0,0,0,0,
"ace group",0,0,0,0,
"ace promo",0,0,0,0,
"acer group",0,0,0,0,
acerd,0,0,0,0,
acinfo,0,0,0,0,
acision,0,0,0,0,
acisionsnc,0,0,0,0,
acknlg,0,0,0,0,
aclc,0,0,0,0,
aclc-alab,0,0,0,0,
aclccollege,0,0,0,0,
aclcvoting,0,0,0,0,
acnresponse,0,0,0,0,
acommerce,0,125,57,0,
acommerceph,0,0,0,0,
acqc,0,0,0,0,
acqdmm,0,0,0,0,
acrobat,0,0,0,0,
acs,0,0,0,0,
active,0,0,0,0,
"active fun",0,0,0,0,
actran,0,0,0,0,
acts,0,0,0,0,
adaam,0,0,0,0,
adaamnyves,0,0,0,0,
adam,0,0,0,0,
adamson,0,0,0,0,
adamsonrotc,0,0,0,0,
adamsonu,0,0,0,0,
adamsonuni,0,0,0,0,
adb,0,0,0,0,
"adb oist",0,0,0,0,
"adb otp",0,0,0,0,
adb-oist,0,0,0,0,
adb-otp,0,0,0,0,
adbotp,0,0,0,0,
adcb,0,0,0,0,
adcbalert,0,0,0,0,
adcentral,0,0,0,0,
addasound,0,0,0,0,
addison,0,0,0,0,
addison§lee,0,0,0,0,
addisonâ§lee,0,0,0,0,
adelph,0,0,0,0,
adgateway,0,0,0,0,
adib,0,0,0,0,
adidas,0,0,0,0,
adidea,0,0,0,0,
admerex,0,0,0,0,
admin,0,0,0,0,
admitall,0,0,0,0,
adobe,0,0,0,0,
